Date,Username,User tag,Content,Mentions,link
"2024-08-13,01:14:41",narooo_dz,#0,ما تروحش تقود علينا,ak_miro#0,
"2024-08-13,01:14:42",0_gf,#0,عيطتلي ؟,narooo_dz#0,
"2024-08-13,01:15:01",_.69_.,#0,<@1180425486720041032> <@1158860326289297458>,0_gf#0、ak_miro#0,
"2024-08-13,01:15:11",0_gf,#0,؟,_.69_.#0,
"2024-08-13,01:15:11",narooo_dz,#0,انت خوه,0_gf#0,
"2024-08-13,01:15:15",_.69_.,#0,نتا مترم؟,,
"2024-08-13,01:15:15",0_gf,#0,<:tadcarlfachero36:1152016084430487552>,,
"2024-08-13,01:15:50",narooo_dz,#0,<:sh:1152016071147147319>,,
"2024-08-13,01:15:56",0_gf,#0,<a:skull:1211673713519628328>,,
"2024-08-13,01:16:21",abdellah_x,#0,انا,,
"2024-08-13,01:16:24",_.69_.,#0,بابا nik yma,,
"2024-08-13,01:16:29",_.69_.,#0,<@1158860326289297458>,ak_miro#0,
"2024-08-13,01:17:23",m3d.com,#0,🇹 🇳 🇦 🇰,,
"2024-08-13,01:17:33",_.69_.,#0,اوكي 🏳️‍⚧️🤝🏳️‍🌈,m3d.com#0,
"2024-08-13,01:17:37",rohta3ti,#0,,,
"2024-08-13,01:17:55",_.69_.,#0,وليت نخمم فلانتحار على جالك,rohta3ti#0,
"2024-08-13,01:18:15",0_gf,#0,فيك مشكل ولا,_.69_.#0,
"2024-08-13,01:18:19",rohta3ti,#0,تهنية منك,_.69_.#0,
"2024-08-13,01:18:27",m3d.com,#0,,,
"2024-08-13,01:18:45",0_gf,#0,,,
"2024-08-13,01:18:52",0_gf,#0,smash,m3d.com#0,
"2024-08-13,01:19:01",m3d.com,#0,7baibna jabo,,
"2024-08-13,01:19:03",m3d.com,#0,0seconde,,
"2024-08-13,01:19:22",0_gf,#0,wanna se,,
"2024-08-13,01:19:24",0_gf,#0,see,,
"2024-08-13,01:19:27",rohta3ti,#0,منين نخرج,ak_miro#0,
"2024-08-13,01:19:36",m3d.com,#0,,,
"2024-08-13,01:20:05",0_gf,#0,على راسي,ak_miro#0,
"2024-08-13,01:20:40",rohta3ti,#0,كبير وجايح<:Dead_inside:1150410964659863592>,ak_miro#0,
"2024-08-13,01:21:00",m3d.com,#0,,,
"2024-08-13,01:21:16",0_gf,#0,,,
"2024-08-13,01:21:44",rohta3ti,#0,test ميقتلش ا لحمار,ak_miro#0,
"2024-08-13,01:22:28",0_gf,#0,<:tadcarlfachero36:1152016084430487552>,,
"2024-08-13,01:22:41",rohta3ti,#0,في ترام ك اغلقت القضية,ak_miro#0,
"2024-08-13,01:28:14",zebzoubii,#0,Khwti khsni l vid t3 mimo,,
"2024-08-13,01:28:16",zebzoubii,#0,Nsh9o,,
"2024-08-13,01:32:23",_.69_.,#0,منحبش بنات وش ندير؟,,
"2024-08-13,01:32:39",_.69_.,#0,نولي نحب هذا وخلاص <@1158860326289297458> 😔,ak_miro#0,
"2024-08-13,01:34:20",_.69_.,#0,نحبك,ak_miro#0,
"2024-08-13,01:34:23",_.69_.,#0,🫦,,
"2024-08-13,01:37:28",m3d.com,#0,<:emoji_13:1257388270195703859>,,
"2024-08-13,01:41:14",0_gf,#0,<:tadcarlfachero36:1152016084430487552>,,
"2024-08-13,01:41:30",abdouma_chiko,#0,<:Pog:1150411414243131504>,,
"2024-08-13,03:05:04",ryo.q,#0,<:megamind5:1152015946874097684>,,
"2024-08-13,03:06:17",lm3sb_,#0,Ani 3wd Jit w nikmo li gay (li gay b3toli n7wih),,
"2024-08-13,03:06:24",lm3sb_,#0,<:gigachad:1150419236989186078> <:gigachad:1150419236989186078>,,
"2024-08-13,03:09:56",ryo.q,#0,<:emoji_107:1191548658336940132>,lm3sb_#0,
"2024-08-13,03:22:38",m3d.com,#0,إي مجنونة كان تكوني فبحر مع فاميلتكم و تقولك وحدة من اقاربك ايا نروحو نمشو شوية وحدنا و كي تبعدو يجو مرايل مسودي الركبة و الوجه هزيلي الجسم و يقولولكم وش مامي نا و ياك منولوش امي و نديرو ليفريد فامي نتوما تخافو تبداو تمشو بزربة حتى يجرو يشدوكم من كتف تض..ربوهم بكف كرد فعل و يتقلقو يجو يسقلوكم حتى نخرج نا مبحر نجري نرفدهم فسماء نخبطهم يزيدو يجو صحابهم نزيد نقعرهم بواحد و نشوف فيكم و قطرات لماء يهبطو من شعرو نقولكم اذا راكم بخير مقاسوكمش! وقتها حتضاا..ربو على شكون تديني ول تحشمو و تقولو رانا بخير مارسي دادي و تروحو!,,
"2024-08-13,05:42:27",vem_3,#0,.,,
"2024-08-13,06:37:27",m7_.n8,#0,,vem_3#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272791101836890142/image0.gif?ex=672da395&is=672c5215&hm=5f785a94e3abbff93f5dce8ecf906efdd13b17c9d80e85668eaee127335e7b63&
"2024-08-13,07:07:23",themask0239,#0,# نضوا يلحمارة,,
"2024-08-13,07:11:20",themask0239,#0,,m7_.n8#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272799633860460555/image0-1.gif?ex=672dab88&is=672c5a08&hm=17d4c8d231649736b3d774d42d3b53e6a4a8d3b94a7155a7055ecc5163b79f50&
"2024-08-13,07:31:24",yanabbbb,#0,<:tadcarlfachero36:1152016084430487552>,,
"2024-08-13,07:32:05",yanabbbb,#0,صباح الشر mother fuck,,
"2024-08-13,07:40:32",mk_diassss,#0,<:tadcarlfachero36:1152016084430487552> 👋,,
"2024-08-13,07:57:47",themask0239,#0,أهلا,,
"2024-08-13,07:57:56",themask0239,#0,<@1158860326289297458>  وي لعزيز,ak_miro#0,
"2024-08-13,07:59:04",themask0239,#0,<@1158860326289297458>  نفرزوها ؟,ak_miro#0,
"2024-08-13,07:59:19",themask0239,#0,ولي هي 😍,w.me#0,
"2024-08-13,07:59:44",themask0239,#0,<:emoji_108:1226598091969269891>,ak_miro#0,
"2024-08-13,08:25:21",themask0239,#0,<@1158860326289297458>,ak_miro#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272818260215205909/f674fffdfc19b091df09a32f5a94316a.jpg?ex=672dbce1&is=672c6b61&hm=35231ddb6d01a8aceb56606aa6e3683c84feec8563ac704fd69d6789ead96267&
"2024-08-13,08:25:39",themask0239,#0,نسيت تع دوبليها ياعيسى,ak_miro#0,
"2024-08-13,08:41:37",jovial_flamingo_95831,#0,_بب_,,
"2024-08-13,08:47:02",jovial_flamingo_95831,#0,استغفر لله,,
"2024-08-13,08:47:34",jovial_flamingo_95831,#0,يخو راك تمسخر بنبي ربي,,
"2024-08-13,09:01:15",jovial_flamingo_95831,#0,راك عليا,ak_miro#0,
"2024-08-13,09:02:46",jovial_flamingo_95831,#0,شحال عمرك,,
"2024-08-13,09:03:21",jovial_flamingo_95831,#0,لله يبارك,,
"2024-08-13,09:03:39",rayer43,#0,السلام عليكم,,
"2024-08-13,09:03:53",rayer43,#0,واش راكم,,
"2024-08-13,09:04:00",jovial_flamingo_95831,#0,وعليكم سلام,rayer43#0,
"2024-08-13,09:04:16",rayer43,#0,<:uncannycat:1152013915954352148>,ak_miro#0,
"2024-08-13,09:04:22",rayer43,#0,رقدت مليح الحمد لله,,
"2024-08-13,09:04:32",jovial_flamingo_95831,#0,bhle.9 دير ابوني في انستغرام,,
"2024-08-13,09:04:48",rayer43,#0,معنديش انستغرام,jovial_flamingo_95831#0,
"2024-08-13,09:05:57",jovial_flamingo_95831,#0,بصح يخو فوط بروفايل معرف وين شيفها,,
"2024-08-13,09:06:21",rayer43,#0,راك شايفها في فيديوهات تاع 2:00 صباح,jovial_flamingo_95831#0,
"2024-08-13,09:06:46",jovial_flamingo_95831,#0,اسمع يخو,,
"2024-08-13,09:06:49",rayer43,#0,وي,,
"2024-08-13,09:06:55",jovial_flamingo_95831,#0,كي يسموك,,
"2024-08-13,09:07:08",rayer43,#0,؟,,
"2024-08-13,09:07:23",jovial_flamingo_95831,#0,توسوست,rayer43#0,
"2024-08-13,09:07:32",rayer43,#0,يودي مفهمتكش,,
"2024-08-13,09:07:44",jovial_flamingo_95831,#0,قتلك واش اسمك,,
"2024-08-13,09:07:50",rayer43,#0,رياض,,
"2024-08-13,09:08:03",jovial_flamingo_95831,#0,لله يبارك,,
"2024-08-13,09:08:17",rayer43,#0,يبارك فيك,,
"2024-08-13,09:08:34",jovial_flamingo_95831,#0,انا فاروق,,
"2024-08-13,09:08:53",rayer43,#0,الله يبارك,,
"2024-08-13,09:09:17",rayer43,#0,وي,ak_miro#0,
"2024-08-13,09:09:32",rayer43,#0,مفهمتش,,
"2024-08-13,09:10:03",rayer43,#0,بصح راني تعبان,,
"2024-08-13,09:10:23",rayer43,#0,اوكي,,
"2024-08-13,09:10:42",rayer43,#0,هاهو جا عمي عمر,,
"2024-08-13,09:10:42",amiomeroff,#0,واحد يعلمني كيفاه ندير روول ميمر بتكت جاني مغلوق,,
"2024-08-13,09:11:29",jovial_flamingo_95831,#0,خوتي,,
"2024-08-13,09:11:45",amiomeroff,#0,واحد يعلمني كيفاه ندير روول ميمر بتكت جاني مغلوق,,
"2024-08-13,09:11:46",mk_diassss,#0,اصبر شهر,amiomeroff#0,
"2024-08-13,09:12:18",amiomeroff,#0,كيفاه نصبر شهر,mk_diassss#0,
"2024-08-13,09:12:37",jovial_flamingo_95831,#0,راني فتح كونت طفل في فيسبوك,,
"2024-08-13,09:12:41",mk_diassss,#0,اصبر شهر حتة وين يجي <@1214967653370691624>,jordyy.a3ttt#0、amiomeroff#0,
"2024-08-13,09:12:56",rayer43,#0,شوف البارح جا الادمن مش عارف كيفاه,amiomeroff#0,
"2024-08-13,09:13:01",rayer43,#0,و بدا يخدم,,
"2024-08-13,09:13:10",rayer43,#0,و ضرك راه كونجي,,
"2024-08-13,09:13:12",amiomeroff,#0,كي يجي قولولي,,
"2024-08-13,09:13:18",rayer43,#0,اوكي,amiomeroff#0,
"2024-08-13,09:13:27",rayer43,#0,بصح لازم تجي فيسع,,
